Object Name,Game Location,Pixel Sprite (in-game),Description of the Object in the Real World (and its meaning for knowledge and culture),Connection to TOK Knowledge Questions (with suggested answers and reasons),Learn More (MLA),"Components When Dissected (claims, fact, materials)",Icon,Rarity,Concept,Framework Element,Subject,In-Game Effect,Sprite Template,Object ID
"John Snow's Cholera Map, Broad Street, 1854",Royal Society Court: in the open (Field Search or floor pickup),Generated in-game (template: map),"John Snow mapped cholera deaths in Soho, London, in 1854. Cases ringed the Broad Street water pump. His map helped show cholera spread through water, not air.","KQ: What role does a map play in turning data into an argument?

Suggested answer 1: A picture can reveal a cause. Snow's dots clustered on one pump, so the water source stood accused.

Suggested answer 2: Maps can also mislead by framing. He drew the bounds he chose, so the pattern reflects his focus.","""1854 Broad Street cholera outbreak."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/1854_Broad_Street_cholera_outbreak. | ""John Snow."" Encyclopaedia Britannica, n.d., www.britannica.com/biography/John-Snow-British-physician.","Claim card 1: A picture can reveal a cause. | Claim card 2: Maps can also mislead by framing. | Fact card: John Snow mapped cholera deaths in Soho, London, in 1854. | Materials: 2 Paper, 1 Cord",🗺️,Epic,Evidence,Methods and Tools,Geography,Carried: Perspective Token (Evidence),map,r62_023
"Hooke's Compound Microscope and Micrographia, 1665",Royal Society Court: in the open (Field Search or floor pickup),Generated in-game (template: telescope),"Robert Hooke published Micrographia in 1665 with detailed engravings of a flea, cork, and mould. He coined the word cell for the boxes he saw. The book made microscopy popular across Europe.","KQ: How does a new lens change what a scientist can even ask?

Suggested answer 1: Sight sets the questions. Hooke saw cells in cork, so biology gained a new unit to study.

Suggested answer 2: Lenses add their own flaws. Early glass bent colour, so some drawings showed shapes never there.","""Micrographia."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Micrographia. | ""Robert Hooke."" Encyclopaedia Britannica, n.d., www.britannica.com/biography/Robert-Hooke.","Claim card 1: Sight sets the questions. | Claim card 2: Lenses add their own flaws. | Fact card: Robert Hooke published Micrographia in 1665 with detailed engravings of a flea, cork, and mould. | Materials: 2 Brass, 1 Charcoal",🔬,Legendary,Perspective,Methods and Tools,Biology,Carried: grants the Lens ability,telescope,r62_024
"Apollo 11 Lunar Module Eagle, 1969",The Engine Bazaar: given by Flight tech Mara after an exchange,Generated in-game (template: tool),The Eagle carried Armstrong and Aldrin to the Moon's surface on 20 July 1969. Its guidance computer held less memory than a modern toy. Human judgement still finished the landing as fuel ran low.,"KQ: How far can we trust a machine with a human life?

Suggested answer 1: Testing can earn deep trust. Engineers rehearsed every stage, so the crew rode with reason to hope.

Suggested answer 2: No test covers all. Alarms rang during descent, so Armstrong flew the last stretch by hand.","""Apollo Lunar Module."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Apollo_Lunar_Module. | ""Apollo 11."" Encyclopaedia Britannica, n.d., www.britannica.com/topic/Apollo-11.","Claim card 1: Testing can earn deep trust. | Claim card 2: No test covers all. | Fact card: The Eagle carried Armstrong and Aldrin to the Moon's surface on 20 July 1969. | Materials: 2 Wood, 1 Charcoal",🚀,Epic,Certainty,Scope,Physics,Carried: +3 Vigor for trials,tool,r62_025
"Dolly the Cloned Sheep, Roslin Institute, 1996","The Beagle's Wake: hidden. Hint: In the collections drawer marked 6LL3, under the wool samples.",Generated in-game (template: flask),Scientists at the Roslin Institute cloned Dolly from an adult cell in 1996. She was the first mammal cloned this way. Her birth raised deep questions about cloning humans.,"KQ: Under what circumstances does a copy count as the same being?

Suggested answer 1: Genes can define sameness. Dolly grew from one adult cell, so her DNA matched the donor.

Suggested answer 2: A life is more than genes. She had her own body and history, so she stayed her own sheep.","""Dolly (sheep)."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Dolly_(sheep). | ""Dolly."" Encyclopaedia Britannica, n.d., www.britannica.com/topic/Dolly-cloned-sheep.","Claim card 1: Genes can define sameness. | Claim card 2: A life is more than genes. | Fact card: Scientists at the Roslin Institute cloned Dolly from an adult cell in 1996. | Materials: 2 Glass, 1 Resin",🐑,Common,Truth,Ethics,Biology,On finding: +11 Truth insight,flask,r62_026
"Sony Walkman TPS-L2, 1979","The Exchange stall (delivered from The Engine Bazaar), about 60 lumens",Generated in-game (template: flask),Sony released the TPS-L2 Walkman in 1979. The pocket player let people carry music by cassette. It began decades of private listening in public.,"KQ: How does a device change the culture around it?

Suggested answer 1: Private sound can reshape space. The Walkman gave each listener a bubble, so public places turned personal.

Suggested answer 2: Culture pushes back on devices. Some cities banned headphones on roads, so the tool met old rules.","""Walkman."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Walkman.","Claim card 1: Private sound can reshape space. | Claim card 2: Culture pushes back on devices. | Fact card: Sony released the TPS-L2 Walkman in 1979. | Materials: 2 Glass, 1 Resin",🎧,Common,Culture,Perspectives,Music,On finding: +9 Culture insight,flask,r62_027
"Wilson Cloud Chamber, Cambridge, 1911",The Ring: in the open (Field Search or floor pickup),Generated in-game (template: flask),Charles Wilson perfected the cloud chamber in 1911 in Cambridge. Charged particles left trails in cold vapour. The device revealed cosmic rays and won Wilson the 1927 Nobel Prize.,"KQ: What counts as seeing a thing we can never touch?

Suggested answer 1: Tracks can stand for particles. The chamber showed white trails, so physicists trusted invisible bits.

Suggested answer 2: A trail is not the thing. We see the wake, not the particle, so belief rests on a chain of reasoning.","""Cloud chamber."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Cloud_chamber. | ""C.T.R. Wilson."" Encyclopaedia Britannica, n.d., www.britannica.com/biography/C-T-R-Wilson.","Claim card 1: Tracks can stand for particles. | Claim card 2: A trail is not the thing. | Fact card: Charles Wilson perfected the cloud chamber in 1911 in Cambridge. | Materials: 2 Glass, 1 Resin",☁️,Rare,Evidence,Methods and Tools,Physics,Carried: trial bonus (reveal),flask,r62_028
"Wakefield's Retracted MMR Paper, The Lancet, 1998",Seoul: first-win reward of the Fallacy Volley trial,Generated in-game (template: letter),"Andrew Wakefield published a study in The Lancet in 1998 tying MMR vaccines to autism. Later reviews found fraud and undisclosed payments. The Lancet retracted it in 2010 and Britain revoked his licence, yet vaccine fear lingered.","KQ: How does a false claim keep power after science rejects it?

Suggested answer 1: Fear can outlive facts. The paper linked vaccines to autism, so worry spread faster than the retraction.

Suggested answer 2: Trust in method can win. Journals pulled the study and struck him off, so the record now marks it false.","""Lancet MMR autism fraud."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Lancet_MMR_autism_fraud.","Claim card 1: Fear can outlive facts. | Claim card 2: Trust in method can win. | Fact card: Andrew Wakefield published a study in The Lancet in 1998 tying MMR vaccines to autism. | Materials: 2 Paper, 1 Charcoal",📄,Common,Truth,Ethics,Biology,On finding: +12 Truth insight,letter,r62_029
"Bessemer Converter, Sheffield, 1856",Haya Furnaces: given by Smith Ironsi after an exchange,Generated in-game (template: flask),"Henry Bessemer announced his steel-making process in 1856. Air blown through molten iron burned off carbon fast. Cheap steel reshaped rails, bridges, and cities.","KQ: What makes an explanation useful before we fully understand it?

Suggested answer 1: A method can run ahead of theory. Bessemer blew air through iron and got steel, so factories used it early.

Suggested answer 2: Gaps in theory bite back. Impurities ruined some batches, so chemistry had to catch up.","""Bessemer process."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Bessemer_process. | ""Bessemer process."" Encyclopaedia Britannica, n.d., www.britannica.com/technology/Bessemer-process.","Claim card 1: A method can run ahead of theory. | Claim card 2: Gaps in theory bite back. | Fact card: Henry Bessemer announced his steel-making process in 1856. | Materials: 2 Glass, 1 Resin",🔥,Common,Explanation,Methods and Tools,Chemistry,On finding: +10 Explanation insight,flask,r62_030
"Gibeon Meteorite Iron Fragment, Namibia",Haya Furnaces: hidden. Hint: Buried in the ash bin beside the smelting pit.,Generated in-game (template: flask),The Gibeon meteorite fell over Namibia in prehistory and scattered iron across the land. Nama people used the metal for tools and weapons. Its crystal pattern forms only over millions of years in space.,"KQ: How does culture decide the use of a material from the sky?

Suggested answer 1: Need shapes use. Ancient smiths forged sky-iron into tools, so meteorites became blades.

Suggested answer 2: Meaning can outrank use. Some peoples kept sky-iron as sacred, so they never struck it.","""Gibeon (meteorite)."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Gibeon_(meteorite).","Claim card 1: Need shapes use. | Claim card 2: Meaning can outrank use. | Fact card: The Gibeon meteorite fell over Namibia in prehistory and scattered iron across the land. | Materials: 2 Glass, 1 Resin",☄️,Common,Culture,Methods and Tools,Chemistry,On finding: +10 Culture insight,flask,r62_031
"HMS Beagle Ship's Chronometer, 1831",Wayfinder's Ocean: in the open (Field Search or floor pickup),Generated in-game (template: scale),HMS Beagle sailed in 1831 carrying 22 chronometers to fix longitude. FitzRoy aimed to map South American coasts with care. Accurate timekeeping tied distant shores to one global grid.,"KQ: How far can careful measurement remove bias from a survey?

Suggested answer 1: Good clocks can steady the map. The Beagle carried 22 chronometers, so longitude grew reliable.

Suggested answer 2: Choices still shape the survey. Officers picked which coasts to chart, so values guided the map.","""HMS Beagle."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/HMS_Beagle. | ""HMS Beagle."" Encyclopaedia Britannica, n.d., www.britannica.com/topic/HMS-Beagle.","Claim card 1: Good clocks can steady the map. | Claim card 2: Choices still shape the survey. | Fact card: HMS Beagle sailed in 1831 carrying 22 chronometers to fix longitude. | Materials: 2 Brass, 1 Charcoal",⏱️,Epic,Objectivity,Scope,Geography,Carried: courier route to The Beagle's Wake,scale,r62_032
"Rorschach Inkblot Cards, Switzerland, 1921",Seoul: in the open (Field Search or floor pickup),Generated in-game (template: letter),"Hermann Rorschach published his ten inkblots in 1921 in Switzerland. Patients say what each blot resembles. Psychologists once leaned on the test, though its reliability stays debated.","KQ: Whose meaning counts when two people see the same shape?

Suggested answer 1: The viewer supplies the meaning. Each person names a different image, so the answer reveals the mind, not the card.

Suggested answer 2: The scorer holds power too. Manuals rank the replies, so the tester frames what each answer means.","""Rorschach test."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Rorschach_test. | ""Hermann Rorschach."" Encyclopaedia Britannica, n.d., www.britannica.com/biography/Hermann-Rorschach.","Claim card 1: The viewer supplies the meaning. | Claim card 2: The scorer holds power too. | Fact card: Hermann Rorschach published his ten inkblots in 1921 in Switzerland. | Materials: 2 Paper, 1 Charcoal",🖤,Epic,Interpretation,Perspectives,Psychology,Carried: Perspective Token (Interpretation),letter,r62_033
"Curta Mechanical Calculator, 1948","The Exchange stall (delivered from The Engine Bazaar), about 90 lumens",Generated in-game (template: gameboard),"Curt Herzstark designed the Curta while imprisoned in Buchenwald, and it reached market in 1948. The hand-held device did precise arithmetic with gears. Rally drivers and engineers used it before electronic calculators.","KQ: How far should we trust a result we cannot check by hand?

Suggested answer 1: A trusted mechanism can justify belief. The Curta's gears never slipped, so users trusted the crank.

Suggested answer 2: Blind trust invites error. A wrong entry gave a clean wrong answer, so checking still mattered.","""Curta."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Curta.","Claim card 1: A trusted mechanism can justify belief. | Claim card 2: Blind trust invites error. | Fact card: Curt Herzstark designed the Curta while imprisoned in Buchenwald, and it reached market in 1948. | Materials: 2 Wood, 1 Cord",🧮,Common,Justification,Methods and Tools,Mathematics,On finding: +9 Justification insight,gameboard,r62_034
